House Index,Address,Price,County,Room,Approx price per room
False,"Apartment 12-09, The Arc, 2K Queens Road, Belfast, Belfast City Centre, Belfast, Co. Antrim",850970, Co. Antrim,2,425485.00
False,"Glynn, St. Mullins, Co. Carlow",700, Co. Carlow,4,175.00
False,"Ferry Bank, Graiguecullen, Co. Carlow",850, Co. Carlow,2,425.00
False,"Dublin Street, Carlow Town, Co. Carlow",850, Co. Carlow,3,283.33
False,"Riverdell, Haymarket, Carlow Town, Co. Carlow",825, Co. Carlow,2,412.50
False,"Centaur House, Carlow Town, Co. Carlow",950, Co. Carlow,2,475.00
False,"phelim crescent, Tullow, Co. Carlow",800, Co. Carlow,3,266.67
False,"Barrow Mews, Carlow Town, Co. Carlow",750, Co. Carlow,1,750.00
False,"No. 10 Eaglewood, Belturbet, Co. Cavan",550, Co. Cavan,2,275.00
False,"Apt. 31 Railway Lough, Belturbet, Co. Cavan",450, Co. Cavan,1,450.00
False,"Lakelands, Virginia, Co. Cavan",750, Co. Cavan,2,375.00
False,"13 Headford Grove, Virginia, Co. Cavan",800, Co. Cavan,3,266.67
False,"Rivercrescent, Virginia, Co. Cavan",550, Co. Cavan,1,550.00
False,"Main Street, Cavan, Co. Cavan",550, Co. Cavan,1,550.00
False,"Stramatt, Lisduff, Virginia, Co. Cavan",900, Co. Cavan,3,300.00
False,"Deerpark, Virginia, Co. Cavan",700, Co. Cavan,3,233.33
False,"Russell Quay, Ballyconnell, Co. Cavan, Ballyconnell, Co. Cavan",685, Co. Cavan,2,342.50
False,"blacklion, Blacklion, Co. Cavan",450, Co. Cavan,2,225.00
False,"Apt 7 Woodford View, Ballyconnell, Co. Cavan",550, Co. Cavan,2,275.00
False,"2 Annalee Drive, Ballyhaise Cavan, Ballyhaise, Co. Cavan",600, Co. Cavan,2,300.00
False,"Poles, Cavan, Co. Cavan",950, Co. Cavan,1,950.00
False,"Cuirt Na HEaglaise, Newmarket on Fergus, Co. Clare",800, Co. Clare,2,400.00
False,"Woodbrook, Newmarket on Fergus, Co. Clare",650, Co. Clare,1,650.00
False,"Boheraroan, Newmarket on Fergus, Co. Clare",800, Co. Clare,2,400.00
False,"135 Bru na Sionna, Shannon, Co. Clare",825, Co. Clare,2,412.50
False,"10 Ros na Greine, Shannon, Co. Clare",1200, Co. Clare,5,240.00
False,"Merchants Quay, Kilrush, Co. Clare",700, Co. Clare,2,350.00
False,"Riverwood Retirement village, Kilrush, Co. Clare",650, Co. Clare,1,650.00
False,"Bruagh Na Habhann, Quinn road, Ennis, Co. Clare",825, Co. Clare,2,412.50
False,"1 Maple house Drumgeely, Shannon, Co. Clare",700, Co. Clare,2,350.00
False,"Lahinch Road, Ennistymon, Ennistymon, Co. Clare",600, Co. Clare,2,300.00
False,"Salthouse Lane, Ennis, Co. Clare",800, Co. Clare,2,400.00
False,"Boheroan, Newmarket on Fergus, Co. Clare",800, Co. Clare,2,400.00
False,"Moore Street, Kilrush, Co. Clare",400, Co. Clare,1,400.00
False,"Apartment 1, Garna House Retail Centre, Sixmilebridge, Co. Clare",800, Co. Clare,3,266.67
False,"3 Merchant's Quay, Kilrush, Co. Clare",360, Co. Clare,1,360.00
False,"South Douglas Road, Cork City, Co. Cork",1440, Co. Cork,2,720.00
False,"Orchard Court, Victoria Cross, Victoria Cross, Co. Cork",1373, Co. Cork,2,686.50
False,"24 Ronayns Court, Rochestown Road, Douglas, Co. Cork",1500, Co. Cork,2,750.00
False,"Douglas House, Douglas, Co. Cork",1400, Co. Cork,2,700.00
False,"24 Rivergold, Lavitts Quay, Cork City, Co. Cork",1350, Co. Cork,1,1350.00
False,"Camden Court , Carolls Quay , Cork ., Cork City, Co. Cork",1600, Co. Cork,2,800.00
False,"Eagle Valley, Wilton, Co. Cork",1500, Co. Cork,4,375.00
False,"River Towers, Lee Road, Cork City, Co. Cork",2550, Co. Cork,1,2550.00
False,"The Coach House, Belvidere Farm, ballycurreen, Farmers Cross, Co. Cork",1200, Co. Cork,2,600.00
False,"South Terrace, Cork City, Co. Cork",1250, Co. Cork,1,1250.00
False,"11 Blackrock Grove, Eden, Blackrock, Co. Cork",1400, Co. Cork,2,700.00
False,"48 Mill House, Mill Road, Midleton, Co. Cork",1150, Co. Cork,2,575.00
False,"Cloghroe House, Ballincollig, Co. Cork",825, Co. Cork,1,825.00
False,"Corrin Court, Cork Road, Fermoy, Co. Cork",795, Co. Cork,2,397.50
False,"Blarney Street, Cork City, Co. Cork",1260, Co. Cork,2,630.00
False,"Kingsbridge, South Douglas Road, Douglas, Co. Cork",1440, Co. Cork,2,720.00
False,"Granary Hall, Mount Oval, Rochestown, Co. Cork",1350, Co. Cork,2,675.00
False,"Tivoli Woods, Tivoli, Co. Cork",1050, Co. Cork,2,525.00
False,"Maryborough Ridge, Douglas, Co. Cork",1620, Co. Cork,3,540.00
False,"The Crescent, Cork City, Co. Cork",1305, Co. Cork,2,652.50
False,"2 Railway Court, Pearse Road, Letterkenny, Co. Donegal",650, Co. Donegal,2,325.00
False,"Apt 4, Main St, St. Johnston, Co. Donegal",390, Co. Donegal,1,390.00
False,"18 The Fort, Greencastle, Co. Donegal",750, Co. Donegal,3,250.00
False,"21 Quayside Apartments, Ramelton, Co. Donegal",850, Co. Donegal,3,283.33
False,"Trentaboy, Drumkeen, Co. Donegal",600, Co. Donegal,1,600.00
False,"49 Grand Central Apartments, Letterkenny, Co. Donegal",650, Co. Donegal,2,325.00
False,"Apt 1 86 Upper Main street, Letterkenny, Co. Donegal",600, Co. Donegal,2,300.00
False,"14 Glenveagh Court, Letterkenny, Co. Donegal",800, Co. Donegal,3,266.67
False,"The Maples, Lismonaghan, Letterkenny, Co. Donegal",565, Co. Donegal,1,565.00
