House,Price,County
"1. 13 Adelaide Road, Dublin 2",3200, Dublin 2
"2. The Grange, Brewery Road, Stillorgan, Co. Dublin",1950, Co. Dublin
"3. Northbank, Castleforbes Road, Dublin 1",1950, Dublin 1
"4. Vantage by Kennedy Wilson, Central Park, Leopardstown, Dublin 18",2939, Dublin 18
"5. Vantage by Kennedy Wilson, Central Park, Leopardst, Leopardstown, Dublin 18",2500, Dublin 18
"6. Northbank Apartments, Castleforbes Road, Dublin 1",2400, Dublin 1
"7. Adelaide Square, Dublin 2",3400, Dublin 2
"8. 532 The Maple,Beacon South Quarter, Sandyford, Dublin 18",2300, Dublin 18
"9. Apt. 28 Hanover Riverside, Sir John Rogerson's Qua, Dublin 2",3750, Dublin 2
"10. Sweepstakes, Ballsbridge, Dublin 4",3120, Dublin 4
"11. Smithfield Market - 16E, Smithfield, Dublin 7",2700, Dublin 7
"12. Robin Hill Sandyford Road Sandyford, Sandyford, Dublin 18",2400, Dublin 18
"13. Steeven's Gate, James Street, Dublin 8",1688, Dublin 8
"14. 46 South Central Rockbrook, Sandyford, Dublin 18",1935, Dublin 18
"15. OCallaghan Court, Grand Canal Dock, Dublin 2",2250, Dublin 2
"16. Cathedral Court, Dublin 2",3750, Dublin 2
"17. Cathedral Court, Dublin 2",2800, Dublin 2
"18. Cathedral Court, Dublin 2",2250, Dublin 2
"19. Merrion Street, Dublin 2",8850, Dublin 2
"20. Templeogue rd, Dublin 4",2200, Dublin 4
"21. Rockview, Blackglen Road, Sandyford, Dublin 18",2200, Dublin 18
"22. 19 Seabank Court, Sandycove, Co. Dublin",2400, Co. Dublin
"23. Greenlea Place, Terenure, Dublin 6w",1900, Dublin 6w
"24. The Holly Rockfield Apartments, Dundrum, Dublin 14",3000, Dublin 14
"25. Charlemont Road, Clontarf, Dublin 3",1108, Dublin 3
"26. Orwell Gate, Marianella, Orwell Road, Rathgar, Dublin 6",2150, Dublin 6
"27. East Courtyard, Tullyvale, Cabinteely, Dublin 18",3000, Dublin 18
"28. Shrewsbury Park, Ballsbridge, Dublin 4",2600, Dublin 4
"29. Sandford Lodge by Kennedy Wilson, Ranelagh, Dublin 6",2650, Dublin 6
"30. 45 Parnell Sq West Dublin, Dublin 1",2760, Dublin 1
"31. Ivy Exchange, Parnell Sq, Dublin 1",2500, Dublin 1
"32. Alexandra Walk, Dublin 2",3200, Dublin 2
"33. Adelaide Square, Dublin 2",2820, Dublin 2
"34. Saint Augustine Court, Christchurch, Dublin 8",1900, Dublin 8
"35. spencer dock apartments, Dublin 1",3200, Dublin 1
"36. Sterling Square, Clonee, Dublin 15",1300, Dublin 15
"37. 9 Brennanstown Ave, Cabinteely, Dublin 18",1950, Dublin 18
"38. Apartment 12, 12 Adelaide Road, Dublin 2",1750, Dublin 2
"39. Windmilll Lane, Dublin 2",2550, Dublin 2
"40. Grosvenor House, Pakenham Road, Monkstown, Co. Dublin",1950, Co. Dublin
"41. Mobhi Court, Corporate Letting, Short term, Drumcondra, Dublin 9",2200, Dublin 9
"42. 185 The Waterside, Charlotte Quay, Hanover Quay, Dublin 2",2250, Dublin 2
"43. Shelbourne Hall, Shelbourne Road, Ballsbridge, Dublin 4",3950, Dublin 4
"44. Westfield, Sion Hill, Blackrock, Co. Dublin",1895, Co. Dublin
"45. Apartment 13, Pavillion 2, Marine Road, Dun Laoghaire, Co. Dublin",2795, Co. Dublin
"46. Rosanule, Phoenix Park Racecourse, Castleknock, Dublin 15",1850, Dublin 15
"47. Off Parliament Street, Temple Bar, Dublin 2",2250, Dublin 2
"48. 149 Rathgar road, Rathmines Dublin 6, Rathmines, Dublin 6",1585, Dublin 6
"49. The Courtyard, Beechpark, Clonsilla, Dublin 15",1750, Dublin 15
"50. 23 Bellevue, Block B, Islandbridge, Dublin 8",1950, Dublin 8
"51. The Weir, 59 Orwell Park, Rathgar, Dublin 6",2950, Dublin 6
"52. Fishermans Wharf, Ringsend, Dublin 4",2040, Dublin 4
"53. Baggot Court Apartments, Baggot Court, Dublin 2",3200, Dublin 2
"54. Millrace Court, Vergemount Road, Clonskeagh, Ranelagh, Dublin 6",2400, Dublin 6
"55. Millrace Court, Vergemount Road, Clonskeagh, Ranelagh, Dublin 6",3600, Dublin 6
"56. 24 Rochfort House D18 NH56, Cabinteely, Dublin 18",2150, Dublin 18
"57. 25 White Oaks Roebuck Raod Clonskeagh Dublin 14, Clonskeagh, Dublin 14",2400, Dublin 14
"58. Gratton Wood, Donaghmede, Dublin 13",1900, Dublin 13
"59. Eglinton Court, Eglinton Rd, Donnybrook, Dublin 4, Donnybrook, Dublin 4",1650, Dublin 4
"60. The scalp, Kilternan, Dublin 18",1300, Dublin 18
"61. 37 St Anns, Ailesbury Road, Donnybrook, Dublin 4",4500, Dublin 4
"62. Apt. 2, 191 Clonliffe Road, Drumcondra, Dublin 3",1550, Dublin 3
"63. 1A Dartmouth Place, Ranelagh, Dublin 6",2100, Dublin 6
"64. Castlepark Road Dalkey, Co. Dublin, Dalkey, Co. Dublin",5250, Co. Dublin
"65. Baggoth Rath, Newbridge Avenue, Ballsbridge, Dublin 4",4200, Dublin 4
"66. COLLEGE GATE, Dublin 2",1800, Dublin 2
"67. Apartment, Donnybrook Castle, Donnybrook, Dublin 4",3000, Dublin 4
"68. West Court Yard, Cabinteely, Dublin 18",2500, Dublin 18
"69. The Newman, The Court, Killiney, Killiney, Co. Dublin",3000, Co. Dublin
"70. 27 Bushy Park House Templeogue, Templeogue, Dublin 6w",2200, Dublin 6w
"71. Kinsella Hall, Collegewood, Castleknock, Dublin 15",1800, Dublin 15
"72. Barrow Street, Ballsbridge, Dublin 4",2200, Dublin 4
"73. Howth Road, Killester, Dublin 3",1500, Dublin 3
"74. Clanwilliam court, Grand Canal Dock, Dublin 2",2400, Dublin 2
"75. 74 Burnell Square Northern Cross, Balgriffin, Dublin 13",1700, Dublin 13
"76. dorset street, Dublin 1",2400, Dublin 1
"77. gardiner place, Dublin 1",1960, Dublin 1
"78. Grand Canal Square, Dublin 2",3200, Dublin 2
"79. clarendon st, Dublin 2",3200, Dublin 2
"80. grand canal dock, Dublin 2",3560, Dublin 2
"81. 83 St Mary's Lane, Ballsbridge, Dublin 4",2600, Dublin 4
"82. Apartment 11, 24 Pearse Square, Grand Canal, Dublin 2",2600, Dublin 2
"83. Apartment 1, 1 Smithfield Terrace, Smithfield Squa, Smithfield, Dublin 7",2800, Dublin 7
"84. Waterville Terrace, Blanchardstown, Dublin 15",1650, Dublin 15
"85. Richmond Hall, Richmond Road, Fairview, Dublin 3",1450, Dublin 3
"86. Saint James walk, Dublin 8",2200, Dublin 8
"87. hanover quay, Grand Canal Dock, Dublin 2",3800, Dublin 2
"88. Alexandra College, Milltown, Dublin 6",750, Dublin 6
"89. Seamount, Stillorgan Rd, Booterstown, Co. Dublin",2200, Co. Dublin
"90. Greeg Court Parnell Street, Dublin 1",3000, Dublin 1
"91. The Innings, Observatory Lane, Rathmines, Dublin 6",1950, Dublin 6
"92. Meadow Grove, Churchtown, Dublin 14",1400, Dublin 14
"93. Malin Hall, Waterville, Blanchardstown, Dublin 15",1352, Dublin 15
"94. Wyckham Place, Dundrum Dublin 14, Dundrum, Dublin 14",2400, Dublin 14
"95. The Oaks Rockfield Apartments, Dundrum, Dublin 14",3500, Dublin 14
"96. The Edges 3 Beacon South Quarter, Sandyford, Dublin 18",1950, Dublin 18
"97. Sorrento Court, Dalkey, Co. Dublin",1935, Co. Dublin
"98. Granite Court, Stepaside Park, Stepaside, Dublin 18",1930, Dublin 18
"99. Glen Court, Stepaside Park, Stepaside, Dublin 18",1580, Dublin 18
"100. Baltrasna House, Spencer Dock, North Wall Quay, Dublin 1",2060, Dublin 1
